"","athlete.sex","distance","elapsed_time","average_speed","type","average_heartrate","athlete.country","meters_per_sec","iso3c"
"414","F",5610.8,2054,2.796,"Run",143.9,"United States",2.73164556962025,"USA"
"415","F",33714.7,96828,5.916,"Ride",118.6,"Australia",0.34819163878217,"AUS"
"416","F",4821.4,1987,2.426,"Run",134.4,"The Netherlands",2.42647206844489,"NLD"
"417","F",24967.3,3731,6.692,"Ride",120.6,"India",6.69185205038864,"IND"
"418","F",17112.9,2877,5.948,"Ride",122.8,"United States",5.94817518248175,"USA"
"419","F",3899.7,2129,3.359,"Ride",123.4,"United States",1.83170502583372,"USA"
"420","F",2143.8,1787,1.512,"Run",167.1,"Canada",1.19966424174594,"CAN"
"421","F",4010.7,1092,3.683,"Run",187.6,"Australia",3.6728021978022,"AUS"
"422","F",35407.1,5828,6.428,"Ride",139.1,"United States",6.07534317089911,"USA"
"423","F",23824.3,3078,7.74,"Ride",145.6,"United Kingdom",7.74018843404808,"GBR"
"424","F",7380,2726,2.726,"Run",147.8,"France",2.7072633895818,"FRA"
"425","F",17454.2,1896,9.206,"VirtualRide",135.9,"Japan",9.20580168776371,"JPN"
"426","F",27266.5,4875,6.084,"Ride",114.3,"United States",5.59312820512821,"USA"
"427","F",16121.8,5143,3.135,"Run",158.9,"Netherlands",3.13470736923974,"NLD"
"428","F",54916.3,9246,6.433,"Ride",145.3,"België",5.93946571490374,NA
"429","F",59334.6,11939,6.607,"Ride",129.9,"South Africa",4.96981321718737,"ZAF"
"430","F",5099.3,1955,2.608,"Run",177.4,"Lithuania",2.60833759590793,"LTU"
"431","F",3440.1,1078,3.2,"Run",165.7,"Switzerland",3.19118738404453,"CHE"
"432","F",22017.5,3717,5.923,"Ride",119.4,"United States",5.92345977939198,"USA"
"433","F",51271.4,6809,9.006,"Ride",141.4,"Brazil",7.52994566015568,"BRA"
"434","F",50954.8,7223,7.084,"Ride",100.6,"The Netherlands",7.05452028243112,"NLD"
"435","F",16712,2515,6.799,"Ride",143.7,"United States",6.64493041749503,"USA"
"436","F",19263.6,11970,2.37,"Ride",136.9,"Italy",1.60932330827068,"ITA"
"437","F",7980.3,1882,4.39,"Ride",136.2,"United States",4.24032943676939,"USA"
"438","F",16101.2,5258,3.064,"Run",162,"Australia",3.06222898440472,"AUS"
"439","F",9961.1,3568,2.792,"Run",170.9,"United Kingdom",2.79178811659193,"GBR"
"440","F",19735,11407,3.02,"Ride",146.3,"United Kingdom",1.73007802226703,"GBR"
"441","F",10021.1,3566,2.948,"Run",159.6,"Netherlands",2.81017947279865,"NLD"
"442","F",5853.8,3974,1.473,"Run",160.8,"Norway",1.4730246602919,"NOR"
"443","F",20002.2,4039,5.059,"Ride",128.2,"New Zealand",4.95226541223075,"NZL"
"444","F",27814.3,3601,7.724,"Ride",122.6,"Switzerland",7.72404887531241,"CHE"
"445","F",2470,841,2.937,"Ride",150,"Austria",2.93697978596908,"AUT"
"446","F",53256.3,7940,6.935,"Ride",152.7,"United Kingdom",6.70734256926952,"GBR"
"447","F",4056.1,2197,2.226,"Run",124.9,"United States",1.84619936276741,"USA"
"448","F",397.6,118,3.369,"Run",161.6,"United States",3.36949152542373,"USA"
"449","F",15706.7,2475,6.63,"Ride",144.5,"United Kingdom",6.34614141414141,"GBR"
"450","F",6604.8,2332,2.841,"Run",187.3,"United States",2.83224699828473,"USA"
"451","F",7054.2,2352,3.001,"Run",172.1,"Bermuda",2.99923469387755,"BMU"
"452","F",10171.4,3330,3.054,"Run",174,"Portugal",3.05447447447447,"PRT"
"453","F",4851.2,2217,2.405,"Run",137.5,"United States",2.18818222823636,"USA"
"454","F",30799,5933,5.21,"Ride",122.1,"United States",5.19113433338952,"USA"
"455","F",16375.9,1964,8.814,"Ride",52.7,"United States",8.33803462321792,"USA"
"456","F",22615.6,4694,5.016,"Ride",51.1,"South Africa",4.81798040051129,"ZAF"
"457","F",41032.9,16106,2.62,"Run",75.1,"Turkey",2.54767788401838,"TUR"
"458","F",4021.5,1470,2.736,"Run",148.8,"United States",2.73571428571429,"USA"
