"","athlete.sex","distance","elapsed_time","average_speed","type","average_heartrate","athlete.country","meters_per_sec","iso3c"
"764","M",125508,21674,6.774,"Ride",135.8,"United Kingdom",5.79071698809634,"GBR"
"765","M",55120.2,8678,6.783,"Ride",147.3,"Spain",6.35171698548053,"ESP"
"766","F",2562.3,3866,1.166,"Workout",81.9,"Australia",0.662778065183652,"AUS"
"767","M",169.6,10262,2.924,"Ride",72,"United Kingdom",0.01652699278893,"GBR"
"768","M",45402.2,5044,9.001,"Ride",155.1,"United States",9.00122918318795,"USA"
"769","M",34618.3,7070,5.684,"Ride",132.3,"Switzerland",4.89650636492221,"CHE"
"770","F",36202.7,6894,5.462,"Ride",142.1,"United States",5.25133449376269,"USA"
"771","F",47329.9,7978,6.871,"Ride",137.7,"United States",5.93255201804964,"USA"
"772","M",44803.4,8624,8.804,"Ride",159,"United States",5.19519944341373,"USA"
"773","M",16149.3,2333,6.922,"Ride",177.9,"United States",6.92211744534934,"USA"
"774","M",53665.2,8821,6.168,"Ride",117.5,"United States",6.08380002267317,"USA"
"775","M",40912.6,5417,7.553,"VirtualRide",158.3,"Sweden",7.55263060734724,"SWE"
"776","M",3542.7,1372,2.719,"Run",167,"United Kingdom",2.58214285714286,"GBR"
"777","M",12149.5,1896,6.408,"Ride",120.8,"China",6.4079641350211,"CHN"
"778","M",52534.6,8070,6.652,"Ride",141.1,"United States",6.50986369268897,"USA"
"779","M",76125.9,12238,6.988,"Ride",121.2,"South Africa",6.22045268834777,"ZAF"
"780","F",10338.5,4917,2.809,"Run",163.4,"United Kingdom",2.10260321334147,"GBR"
"781","M",12065.6,3680,3.417,"Run",152.3,"United Kingdom",3.27869565217391,"GBR"
"782","M",40740.6,6472,6.295,"Ride",144.7,"Norge",6.29490111248455,NA
"783","M",130518,17307,7.878,"Ride",144.8,"Ireland",7.54134165366615,"IRL"
"784","F",1507,510,2.955,"Run",140.1,"Belgium",2.95490196078431,"BEL"
"785","M",10696,5672,2.377,"Run",150.6,"Peru",1.88575458392102,"PER"
"787","F",6075,2299,2.689,"Run",147.8,"South Africa",2.64245324053937,"ZAF"
"788","M",3304.9,1241,2.798,"Ride",103.7,"United States",2.66309427880741,"USA"
"789","M",91316,12681,8.323,"Ride",131.6,"België",7.20100938411797,NA
"790","M",58090.6,8704,6.774,"Ride",135.3,"España",6.67401194852941,NA
"791","F",46.2,37,1.249,"Workout",165.3,"United States",1.24864864864865,"USA"
"792","F",17872.6,2738,6.528,"Ride",146.1,"United Arab Emirates",6.52761139517896,"ARE"
"793","M",15654.5,3981,4.156,"Ride",161.7,"United States",3.9323034413464,"USA"
"794","F",16061.8,6269,2.966,"Ride",129.9,"United Kingdom",2.56209921837614,"GBR"
"795","M",54499,8517,6.588,"Ride",134.3,"Italia",6.39884936010332,NA
"796","M",81239.1,11396,8.014,"Ride",134.3,"Canada",7.12873815373815,"CAN"
"797","F",67716.7,9181,7.376,"Ride",156.3,"United States",7.37574338307374,"USA"
"798","M",124734,20585,6.858,"Ride",134.8,"Australia",6.05946077240709,"AUS"
"799","M",10627.6,4869,2.252,"Run",143.1,"The Netherlands",2.18270692133908,"NLD"
"800","M",12547.4,3786,3.32,"Run",147.8,"Italia",3.31415742208135,NA
"801","F",33607.2,7040,5.234,"Ride",131.4,"United States",4.77375,"USA"
"802","M",21302.6,2092,10.183,"Ride",140.4,"United States",10.1828871892925,"USA"
